,group_label,stat_label,motion_label,representative_feature
angular_velocity_tail_tip_abs_IQR,39,IQR,none,False
angular_velocity_tail_tip_w_backward_abs_10th,42,10th,backward,False
angular_velocity_tail_tip_w_backward_abs_50th,97,50th,backward,False
angular_velocity_tail_tip_w_backward_abs_90th,42,90th,backward,False
angular_velocity_tail_tip_w_backward_abs_IQR,42,IQR,backward,False
angular_velocity_tail_tip_w_forward_abs_10th,97,10th,forward,False
angular_velocity_tail_tip_w_forward_abs_50th,97,50th,forward,False
angular_velocity_tail_tip_w_forward_abs_90th,39,90th,forward,False
angular_velocity_tail_tip_w_forward_abs_IQR,39,IQR,forward,False
angular_velocity_tail_tip_w_paused_abs_10th,100,10th,paused,False
angular_velocity_tail_tip_w_paused_abs_50th,100,50th,paused,False
angular_velocity_tail_tip_w_paused_abs_90th,12,90th,paused,False
angular_velocity_tail_tip_w_paused_abs_IQR,12,IQR,paused,False
angular_velocity_w_backward_abs_10th,97,10th,backward,False
angular_velocity_w_backward_abs_50th,97,50th,backward,False
angular_velocity_w_backward_abs_90th,42,90th,backward,False
angular_velocity_w_backward_abs_IQR,42,IQR,backward,False
angular_velocity_w_forward_abs_10th,39,10th,forward,False
angular_velocity_w_forward_abs_50th,39,50th,forward,False
angular_velocity_w_forward_abs_90th,39,90th,forward,False
angular_velocity_w_forward_abs_IQR,39,IQR,forward,False
angular_velocity_w_paused_abs_10th,100,10th,paused,False
angular_velocity_w_paused_abs_50th,100,50th,paused,False
angular_velocity_w_paused_abs_90th,100,90th,paused,False
angular_velocity_w_paused_abs_IQR,100,IQR,paused,False
area_10th,23,10th,none,False
area_50th,23,50th,none,True
area_90th,23,90th,none,False
area_IQR,11,IQR,none,False
area_norm_10th,94,10th,none,False
area_norm_50th,94,50th,none,False
area_norm_90th,94,90th,none,False
area_norm_IQR,11,IQR,none,False
area_w_backward_10th,23,10th,backward,False
area_w_backward_50th,23,50th,backward,False
area_w_backward_90th,13,90th,backward,False
area_w_backward_IQR,13,IQR,backward,False
area_w_forward_10th,23,10th,forward,False
area_w_forward_50th,23,50th,forward,False
area_w_forward_90th,23,90th,forward,False
area_w_forward_IQR,11,IQR,forward,False
area_w_paused_10th,23,10th,paused,False
area_w_paused_50th,23,50th,paused,False
area_w_paused_90th,13,90th,paused,False
area_w_paused_IQR,13,IQR,paused,False
blob_area_10th,23,10th,none,False
blob_area_50th,23,50th,none,False
blob_area_90th,13,90th,none,True
blob_area_IQR,13,IQR,none,False
blob_area_w_backward_10th,23,10th,backward,False
blob_area_w_backward_50th,73,50th,backward,True
blob_area_w_backward_90th,13,90th,backward,False
blob_area_w_backward_IQR,13,IQR,backward,False
blob_area_w_forward_10th,23,10th,forward,False
blob_area_w_forward_50th,23,50th,forward,False
blob_area_w_forward_90th,13,90th,forward,False
blob_area_w_forward_IQR,11,IQR,forward,True
blob_area_w_paused_10th,23,10th,paused,False
blob_area_w_paused_50th,9,50th,paused,False
blob_area_w_paused_90th,9,90th,paused,True
blob_area_w_paused_IQR,13,IQR,paused,False
blob_box_length_10th,73,10th,none,False
blob_box_length_50th,73,50th,none,False
blob_box_length_90th,73,90th,none,False
blob_box_length_IQR,10,IQR,none,False
blob_box_length_w_backward_10th,73,10th,backward,False
blob_box_length_w_backward_50th,73,50th,backward,False
blob_box_length_w_backward_90th,73,90th,backward,False
blob_box_length_w_backward_IQR,10,IQR,backward,False
blob_box_length_w_forward_10th,73,10th,forward,False
blob_box_length_w_forward_50th,73,50th,forward,False
blob_box_length_w_forward_90th,73,90th,forward,False
blob_box_length_w_forward_IQR,10,IQR,forward,False
blob_box_length_w_paused_10th,65,10th,paused,False
blob_box_length_w_paused_50th,65,50th,paused,True
blob_box_length_w_paused_90th,9,90th,paused,False
blob_box_length_w_paused_IQR,13,IQR,paused,False
blob_box_width_10th,23,10th,none,False
blob_box_width_50th,23,50th,none,False
blob_box_width_90th,7,90th,none,True
blob_box_width_IQR,7,IQR,none,False
blob_box_width_w_backward_10th,23,10th,backward,False
blob_box_width_w_backward_50th,23,50th,backward,False
blob_box_width_w_backward_90th,13,90th,backward,False
