,group_label,stat_label,motion_label,representative_feature
curvature_midbody_norm_abs_50th,63,50th,none,False
curvature_midbody_norm_abs_90th,63,90th,none,False
curvature_midbody_norm_abs_IQR,18,IQR,none,False
curvature_midbody_w_backward_abs_10th,30,10th,backward,False
curvature_midbody_w_backward_abs_50th,30,50th,backward,False
curvature_midbody_w_backward_abs_90th,18,90th,backward,False
curvature_midbody_w_backward_abs_IQR,18,IQR,backward,False
curvature_midbody_w_forward_abs_10th,29,10th,forward,False
curvature_midbody_w_forward_abs_50th,29,50th,forward,False
curvature_midbody_w_forward_abs_90th,18,90th,forward,False
curvature_midbody_w_forward_abs_IQR,18,IQR,forward,False
curvature_midbody_w_paused_abs_10th,30,10th,paused,False
curvature_midbody_w_paused_abs_50th,30,50th,paused,False
curvature_midbody_w_paused_abs_90th,58,90th,paused,False
curvature_midbody_w_paused_abs_IQR,58,IQR,paused,False
curvature_neck_abs_10th,44,10th,none,False
curvature_neck_abs_50th,44,50th,none,False
curvature_neck_abs_90th,62,90th,none,False
curvature_neck_abs_IQR,62,IQR,none,False
curvature_neck_norm_abs_10th,44,10th,none,False
curvature_neck_norm_abs_50th,44,50th,none,False
curvature_neck_norm_abs_90th,62,90th,none,False
curvature_neck_norm_abs_IQR,62,IQR,none,False
curvature_neck_w_backward_abs_10th,48,10th,backward,False
curvature_neck_w_backward_abs_50th,48,50th,backward,False
curvature_neck_w_backward_abs_90th,18,90th,backward,False
curvature_neck_w_backward_abs_IQR,18,IQR,backward,False
curvature_neck_w_forward_abs_10th,63,10th,forward,False
curvature_neck_w_forward_abs_50th,63,50th,forward,False
curvature_neck_w_forward_abs_90th,62,90th,forward,False
curvature_neck_w_forward_abs_IQR,62,IQR,forward,False
curvature_neck_w_paused_abs_10th,35,10th,paused,False
curvature_neck_w_paused_abs_50th,35,50th,paused,False
curvature_neck_w_paused_abs_90th,58,90th,paused,True
curvature_neck_w_paused_abs_IQR,58,IQR,paused,False
curvature_std_head_abs_10th,60,10th,none,False
curvature_std_head_abs_50th,60,50th,none,False
curvature_std_head_abs_90th,60,90th,none,False
curvature_std_head_abs_IQR,60,IQR,none,False
curvature_std_head_norm_abs_10th,60,10th,none,False
curvature_std_head_norm_abs_50th,60,50th,none,False
curvature_std_head_norm_abs_90th,60,90th,none,False
curvature_std_head_norm_abs_IQR,60,IQR,none,False
curvature_std_head_w_backward_abs_10th,41,10th,backward,False
curvature_std_head_w_backward_abs_50th,41,50th,backward,False
curvature_std_head_w_backward_abs_90th,60,90th,backward,False
curvature_std_head_w_backward_abs_IQR,60,IQR,backward,False
curvature_std_head_w_forward_abs_10th,60,10th,forward,False
curvature_std_head_w_forward_abs_50th,60,50th,forward,False
curvature_std_head_w_forward_abs_90th,60,90th,forward,False
curvature_std_head_w_forward_abs_IQR,60,IQR,forward,False
curvature_std_head_w_paused_abs_10th,40,10th,paused,False
curvature_std_head_w_paused_abs_50th,40,50th,paused,False
curvature_std_head_w_paused_abs_90th,58,90th,paused,False
curvature_std_head_w_paused_abs_IQR,58,IQR,paused,False
curvature_std_hips_abs_10th,63,10th,none,False
curvature_std_hips_abs_50th,63,50th,none,False
curvature_std_hips_abs_90th,62,90th,none,False
curvature_std_hips_abs_IQR,62,IQR,none,False
curvature_std_hips_norm_abs_10th,63,10th,none,False
curvature_std_hips_norm_abs_50th,63,50th,none,False
curvature_std_hips_norm_abs_90th,62,90th,none,False
curvature_std_hips_norm_abs_IQR,62,IQR,none,False
curvature_std_hips_w_backward_abs_10th,48,10th,backward,False
curvature_std_hips_w_backward_abs_50th,48,50th,backward,False
curvature_std_hips_w_backward_abs_90th,59,90th,backward,False
curvature_std_hips_w_backward_abs_IQR,59,IQR,backward,False
curvature_std_hips_w_forward_abs_10th,57,10th,forward,False
curvature_std_hips_w_forward_abs_50th,57,50th,forward,False
curvature_std_hips_w_forward_abs_90th,59,90th,forward,False
curvature_std_hips_w_forward_abs_IQR,59,IQR,forward,False
curvature_std_hips_w_paused_abs_10th,34,10th,paused,False
curvature_std_hips_w_paused_abs_50th,34,50th,paused,False
curvature_std_hips_w_paused_abs_90th,34,90th,paused,False
curvature_std_hips_w_paused_abs_IQR,58,IQR,paused,False
curvature_std_midbody_abs_10th,63,10th,none,False
curvature_std_midbody_abs_50th,63,50th,none,False
curvature_std_midbody_abs_90th,63,90th,none,False
curvature_std_midbody_abs_IQR,18,IQR,none,False
curvature_std_midbody_norm_abs_10th,63,10th,none,False
curvature_std_midbody_norm_abs_50th,63,50th,none,False
curvature_std_midbody_norm_abs_90th,63,90th,none,True
curvature_std_midbody_norm_abs_IQR,18,IQR,none,False
curvature_std_midbody_w_backward_abs_10th,63,10th,backward,False
curvature_std_midbody_w_backward_abs_50th,63,50th,backward,False
curvature_std_midbody_w_backward_abs_90th,63,90th,backward,False
curvature_std_midbody_w_backward_abs_IQR,18,IQR,backward,False
curvature_std_midbody_w_forward_abs_10th,63,10th,forward,False
curvature_std_midbody_w_forward_abs_50th,63,50th,forward,False
curvature_std_midbody_w_forward_abs_90th,63,90th,forward,False
curvature_std_midbody_w_forward_abs_IQR,18,IQR,forward,False
curvature_std_midbody_w_paused_abs_10th,40,10th,paused,False
curvature_std_midbody_w_paused_abs_50th,40,50th,paused,False
curvature_std_midbody_w_paused_abs_90th,40,90th,paused,False
curvature_std_midbody_w_paused_abs_IQR,58,IQR,paused,False
curvature_std_neck_abs_10th,62,10th,none,False
curvature_std_neck_abs_50th,62,50th,none,False
curvature_std_neck_abs_90th,62,90th,none,False
curvature_std_neck_abs_IQR,62,IQR,none,False
curvature_std_neck_norm_abs_10th,62,10th,none,False
curvature_std_neck_norm_abs_50th,62,50th,none,False
curvature_std_neck_norm_abs_90th,62,90th,none,False
curvature_std_neck_norm_abs_IQR,62,IQR,none,False
curvature_std_neck_w_backward_abs_10th,57,10th,backward,False
curvature_std_neck_w_backward_abs_50th,57,50th,backward,False
curvature_std_neck_w_backward_abs_90th,60,90th,backward,False
curvature_std_neck_w_backward_abs_IQR,60,IQR,backward,False
curvature_std_neck_w_forward_abs_10th,61,10th,forward,False
curvature_std_neck_w_forward_abs_50th,61,50th,forward,False
curvature_std_neck_w_forward_abs_90th,62,90th,forward,False
curvature_std_neck_w_forward_abs_IQR,62,IQR,forward,False
curvature_std_neck_w_paused_abs_10th,40,10th,paused,False
curvature_std_neck_w_paused_abs_50th,40,50th,paused,False
curvature_std_neck_w_paused_abs_90th,58,90th,paused,False
curvature_std_neck_w_paused_abs_IQR,58,IQR,paused,False
curvature_std_tail_abs_10th,59,10th,none,False
curvature_std_tail_abs_50th,59,50th,none,False
curvature_std_tail_abs_90th,59,90th,none,False
curvature_std_tail_abs_IQR,59,IQR,none,False
curvature_std_tail_norm_abs_10th,59,10th,none,False
curvature_std_tail_norm_abs_50th,59,50th,none,False
curvature_std_tail_norm_abs_90th,59,90th,none,True
curvature_std_tail_norm_abs_IQR,59,IQR,none,False
curvature_std_tail_w_backward_abs_10th,48,10th,backward,False
curvature_std_tail_w_backward_abs_50th,48,50th,backward,False
curvature_std_tail_w_backward_abs_90th,59,90th,backward,False
curvature_std_tail_w_backward_abs_IQR,59,IQR,backward,False
curvature_std_tail_w_forward_abs_10th,59,10th,forward,False
curvature_std_tail_w_forward_abs_50th,59,50th,forward,False
curvature_std_tail_w_forward_abs_90th,59,90th,forward,False
curvature_std_tail_w_forward_abs_IQR,59,IQR,forward,False
curvature_std_tail_w_paused_abs_10th,96,10th,paused,False
curvature_std_tail_w_paused_abs_50th,96,50th,paused,False
curvature_std_tail_w_paused_abs_90th,96,90th,paused,True
curvature_std_tail_w_paused_abs_IQR,96,IQR,paused,False
curvature_tail_abs_10th,55,10th,none,False
curvature_tail_abs_50th,55,50th,none,False
curvature_tail_abs_90th,62,90th,none,False
curvature_tail_abs_IQR,62,IQR,none,False
curvature_tail_norm_abs_10th,55,10th,none,False
curvature_tail_norm_abs_50th,55,50th,none,True
curvature_tail_norm_abs_90th,62,90th,none,False
curvature_tail_norm_abs_IQR,62,IQR,none,False
curvature_tail_w_backward_abs_10th,55,10th,backward,False
curvature_tail_w_backward_abs_50th,55,50th,backward,False
curvature_tail_w_backward_abs_90th,59,90th,backward,False
curvature_tail_w_backward_abs_IQR,59,IQR,backward,False
curvature_tail_w_forward_abs_10th,55,10th,forward,False
curvature_tail_w_forward_abs_50th,55,50th,forward,False
curvature_tail_w_forward_abs_90th,59,90th,forward,False
curvature_tail_w_forward_abs_IQR,59,IQR,forward,False
curvature_tail_w_paused_abs_10th,40,10th,paused,False
curvature_tail_w_paused_abs_50th,40,50th,paused,False
curvature_tail_w_paused_abs_90th,95,90th,paused,False
curvature_tail_w_paused_abs_IQR,95,IQR,paused,False
d_angular_velocity_abs_10th,6,10th,none,False
d_angular_velocity_abs_50th,6,50th,none,False
d_angular_velocity_abs_90th,6,90th,none,False
d_angular_velocity_abs_IQR,6,IQR,none,False
d_angular_velocity_head_base_abs_10th,6,10th,none,False
d_angular_velocity_head_base_abs_50th,6,50th,none,False
d_angular_velocity_head_base_abs_90th,6,90th,none,False
d_angular_velocity_head_base_abs_IQR,6,IQR,none,False
d_angular_velocity_head_base_w_backward_abs_10th,41,10th,backward,False
d_angular_velocity_head_base_w_backward_abs_50th,6,50th,backward,False
d_angular_velocity_head_base_w_backward_abs_90th,6,90th,backward,False
d_angular_velocity_head_base_w_backward_abs_IQR,6,IQR,backward,False
d_angular_velocity_head_base_w_forward_abs_10th,39,10th,forward,False
d_angular_velocity_head_base_w_forward_abs_50th,39,50th,forward,False
d_angular_velocity_head_base_w_forward_abs_90th,39,90th,forward,False
d_angular_velocity_head_base_w_forward_abs_IQR,39,IQR,forward,False
d_angular_velocity_head_base_w_paused_abs_10th,19,10th,paused,False
d_angular_velocity_head_base_w_paused_abs_50th,19,50th,paused,False
d_angular_velocity_head_base_w_paused_abs_90th,3,90th,paused,True
d_angular_velocity_head_base_w_paused_abs_IQR,3,IQR,paused,False
d_angular_velocity_head_tip_abs_10th,2,10th,none,False
d_angular_velocity_head_tip_abs_50th,2,50th,none,False
d_angular_velocity_head_tip_abs_90th,2,90th,none,False
d_angular_velocity_head_tip_abs_IQR,2,IQR,none,False
d_angular_velocity_head_tip_w_backward_abs_10th,6,10th,backward,False
d_angular_velocity_head_tip_w_backward_abs_50th,6,50th,backward,False
d_angular_velocity_head_tip_w_backward_abs_90th,6,90th,backward,False
d_angular_velocity_head_tip_w_backward_abs_IQR,6,IQR,backward,False
d_angular_velocity_head_tip_w_forward_abs_10th,2,10th,forward,False
d_angular_velocity_head_tip_w_forward_abs_50th,2,50th,forward,False
d_angular_velocity_head_tip_w_forward_abs_90th,60,90th,forward,True
d_angular_velocity_head_tip_w_forward_abs_IQR,60,IQR,forward,False
d_angular_velocity_head_tip_w_paused_abs_10th,19,10th,paused,False
d_angular_velocity_head_tip_w_paused_abs_50th,2,50th,paused,False
d_angular_velocity_head_tip_w_paused_abs_90th,2,90th,paused,False
d_angular_velocity_head_tip_w_paused_abs_IQR,2,IQR,paused,False
d_angular_velocity_hips_abs_10th,97,10th,none,False
d_angular_velocity_hips_abs_50th,97,50th,none,False
d_angular_velocity_hips_abs_90th,97,90th,none,False
d_angular_velocity_hips_abs_IQR,97,IQR,none,False
d_angular_velocity_hips_w_backward_abs_10th,42,10th,backward,False
d_angular_velocity_hips_w_backward_abs_50th,42,50th,backward,False
d_angular_velocity_hips_w_backward_abs_90th,42,90th,backward,False
d_angular_velocity_hips_w_backward_abs_IQR,42,IQR,backward,False
d_angular_velocity_hips_w_forward_abs_10th,97,10th,forward,False
d_angular_velocity_hips_w_forward_abs_50th,97,50th,forward,False
d_angular_velocity_hips_w_forward_abs_90th,39,90th,forward,False
d_angular_velocity_hips_w_forward_abs_IQR,39,IQR,forward,False
d_angular_velocity_hips_w_paused_abs_10th,95,10th,paused,False
d_angular_velocity_hips_w_paused_abs_50th,95,50th,paused,False
d_angular_velocity_hips_w_paused_abs_90th,12,90th,paused,False
d_angular_velocity_hips_w_paused_abs_IQR,12,IQR,paused,False
d_angular_velocity_midbody_abs_10th,97,10th,none,False
d_angular_velocity_midbody_abs_50th,97,50th,none,False
d_angular_velocity_midbody_abs_90th,97,90th,none,False
d_angular_velocity_midbody_abs_IQR,97,IQR,none,False
d_angular_velocity_midbody_w_backward_abs_10th,97,10th,backward,False
d_angular_velocity_midbody_w_backward_abs_50th,42,50th,backward,False
d_angular_velocity_midbody_w_backward_abs_90th,42,90th,backward,False
d_angular_velocity_midbody_w_backward_abs_IQR,42,IQR,backward,False
d_angular_velocity_midbody_w_forward_abs_10th,97,10th,forward,False
d_angular_velocity_midbody_w_forward_abs_50th,97,50th,forward,False
d_angular_velocity_midbody_w_forward_abs_90th,39,90th,forward,False
d_angular_velocity_midbody_w_forward_abs_IQR,39,IQR,forward,False
d_angular_velocity_midbody_w_paused_abs_10th,98,10th,paused,False
d_angular_velocity_midbody_w_paused_abs_50th,98,50th,paused,False
d_angular_velocity_midbody_w_paused_abs_90th,3,90th,paused,False
d_angular_velocity_midbody_w_paused_abs_IQR,3,IQR,paused,False
d_angular_velocity_neck_abs_10th,97,10th,none,False
d_angular_velocity_neck_abs_50th,97,50th,none,False
d_angular_velocity_neck_abs_90th,97,90th,none,False
d_angular_velocity_neck_abs_IQR,97,IQR,none,False
d_angular_velocity_neck_w_backward_abs_10th,42,10th,backward,False
d_angular_velocity_neck_w_backward_abs_50th,42,50th,backward,False
d_angular_velocity_neck_w_backward_abs_90th,42,90th,backward,False
d_angular_velocity_neck_w_backward_abs_IQR,42,IQR,backward,False
d_angular_velocity_neck_w_forward_abs_10th,97,10th,forward,False
d_angular_velocity_neck_w_forward_abs_50th,97,50th,forward,False
d_angular_velocity_neck_w_forward_abs_90th,39,90th,forward,False
d_angular_velocity_neck_w_forward_abs_IQR,39,IQR,forward,False
d_angular_velocity_neck_w_paused_abs_10th,98,10th,paused,False
d_angular_velocity_neck_w_paused_abs_50th,98,50th,paused,False
d_angular_velocity_neck_w_paused_abs_90th,3,90th,paused,False
d_angular_velocity_neck_w_paused_abs_IQR,3,IQR,paused,False
d_angular_velocity_tail_base_abs_10th,97,10th,none,False
d_angular_velocity_tail_base_abs_50th,97,50th,none,False
d_angular_velocity_tail_base_abs_90th,97,90th,none,False
d_angular_velocity_tail_base_abs_IQR,97,IQR,none,False
d_angular_velocity_tail_base_w_backward_abs_10th,42,10th,backward,False
d_angular_velocity_tail_base_w_backward_abs_50th,42,50th,backward,False
d_angular_velocity_tail_base_w_backward_abs_90th,42,90th,backward,False
d_angular_velocity_tail_base_w_backward_abs_IQR,42,IQR,backward,False
d_angular_velocity_tail_base_w_forward_abs_10th,97,10th,forward,False
d_angular_velocity_tail_base_w_forward_abs_50th,97,50th,forward,False
d_angular_velocity_tail_base_w_forward_abs_90th,39,90th,forward,False
d_angular_velocity_tail_base_w_forward_abs_IQR,39,IQR,forward,False
d_angular_velocity_tail_base_w_paused_abs_10th,95,10th,paused,False
d_angular_velocity_tail_base_w_paused_abs_50th,95,50th,paused,True
d_angular_velocity_tail_base_w_paused_abs_90th,12,90th,paused,False
d_angular_velocity_tail_base_w_paused_abs_IQR,12,IQR,paused,False
d_angular_velocity_tail_tip_abs_10th,39,10th,none,False
d_angular_velocity_tail_tip_abs_50th,39,50th,none,False
d_angular_velocity_tail_tip_abs_90th,39,90th,none,False
d_angular_velocity_tail_tip_abs_IQR,39,IQR,none,False
d_angular_velocity_tail_tip_w_backward_abs_10th,42,10th,backward,False
d_angular_velocity_tail_tip_w_backward_abs_50th,42,50th,backward,False
d_angular_velocity_tail_tip_w_backward_abs_90th,42,90th,backward,False
d_angular_velocity_tail_tip_w_backward_abs_IQR,42,IQR,backward,False
d_angular_velocity_tail_tip_w_forward_abs_10th,97,10th,forward,False
d_angular_velocity_tail_tip_w_forward_abs_50th,39,50th,forward,False
d_angular_velocity_tail_tip_w_forward_abs_90th,39,90th,forward,False
d_angular_velocity_tail_tip_w_forward_abs_IQR,39,IQR,forward,False
d_angular_velocity_tail_tip_w_paused_abs_10th,95,10th,paused,False
d_angular_velocity_tail_tip_w_paused_abs_50th,95,50th,paused,False
d_angular_velocity_tail_tip_w_paused_abs_90th,12,90th,paused,False
d_angular_velocity_tail_tip_w_paused_abs_IQR,12,IQR,paused,False
d_angular_velocity_w_backward_abs_10th,42,10th,backward,False
d_angular_velocity_w_backward_abs_50th,42,50th,backward,False
d_angular_velocity_w_backward_abs_90th,42,90th,backward,False
d_angular_velocity_w_backward_abs_IQR,42,IQR,backward,False
d_angular_velocity_w_forward_abs_10th,39,10th,forward,False
d_angular_velocity_w_forward_abs_50th,39,50th,forward,False
d_angular_velocity_w_forward_abs_90th,39,90th,forward,False
d_angular_velocity_w_forward_abs_IQR,39,IQR,forward,False
d_angular_velocity_w_paused_abs_10th,95,10th,paused,False
d_angular_velocity_w_paused_abs_50th,95,50th,paused,False
d_angular_velocity_w_paused_abs_90th,3,90th,paused,False
d_angular_velocity_w_paused_abs_IQR,3,IQR,paused,False
d_area_10th,26,10th,none,True
d_area_50th,78,50th,none,False
d_area_90th,53,90th,none,True
d_area_IQR,53,IQR,none,False
d_area_norm_10th,26,10th,none,False
d_area_norm_50th,78,50th,none,False
d_area_norm_90th,53,90th,none,False
d_area_norm_IQR,53,IQR,none,False
d_area_w_backward_10th,26,10th,backward,False
d_area_w_backward_50th,54,50th,backward,True
d_area_w_backward_90th,53,90th,backward,False
d_area_w_backward_IQR,53,IQR,backward,False
d_area_w_forward_10th,26,10th,forward,False
d_area_w_forward_50th,78,50th,forward,True
d_area_w_forward_90th,53,90th,forward,False
d_area_w_forward_IQR,53,IQR,forward,False
d_area_w_paused_10th,26,10th,paused,False
d_area_w_paused_50th,45,50th,paused,True
d_area_w_paused_90th,53,90th,paused,False
d_area_w_paused_IQR,53,IQR,paused,False
d_blob_area_10th,87,10th,none,True
d_blob_area_50th,78,50th,none,False
d_blob_area_90th,39,90th,none,True
d_blob_area_IQR,39,IQR,none,False
d_blob_area_w_backward_10th,86,10th,backward,True
d_blob_area_w_backward_50th,24,50th,backward,True
d_blob_area_w_backward_90th,39,90th,backward,False
d_blob_area_w_backward_IQR,97,IQR,backward,False
d_blob_area_w_forward_10th,87,10th,forward,False
d_blob_area_w_forward_50th,78,50th,forward,False
d_blob_area_w_forward_90th,39,90th,forward,False
d_blob_area_w_forward_IQR,39,IQR,forward,False
d_blob_area_w_paused_10th,86,10th,paused,False
d_blob_area_w_paused_50th,75,50th,paused,True
d_blob_area_w_paused_90th,97,90th,paused,False
d_blob_area_w_paused_IQR,97,IQR,paused,False
d_blob_box_length_10th,87,10th,none,False
d_blob_box_length_50th,31,50th,none,False
d_blob_box_length_90th,6,90th,none,False
d_blob_box_length_IQR,6,IQR,none,False
d_blob_box_length_w_backward_10th,86,10th,backward,False
d_blob_box_length_w_backward_50th,70,50th,backward,False
d_blob_box_length_w_backward_90th,39,90th,backward,False
d_blob_box_length_w_backward_IQR,97,IQR,backward,False
d_blob_box_length_w_forward_10th,87,10th,forward,False
d_blob_box_length_w_forward_50th,27,50th,forward,False
d_blob_box_length_w_forward_90th,5,90th,forward,False
d_blob_box_length_w_forward_IQR,5,IQR,forward,False
d_blob_box_length_w_paused_10th,86,10th,paused,False
d_blob_box_length_w_paused_50th,45,50th,paused,False
d_blob_box_length_w_paused_90th,97,90th,paused,False
d_blob_box_length_w_paused_IQR,97,IQR,paused,False
d_blob_box_width_10th,87,10th,none,False
d_blob_box_width_50th,83,50th,none,False
d_blob_box_width_90th,6,90th,none,False
d_blob_box_width_IQR,6,IQR,none,False
d_blob_box_width_w_backward_10th,86,10th,backward,False
d_blob_box_width_w_backward_50th,93,50th,backward,False
d_blob_box_width_w_backward_90th,97,90th,backward,False
d_blob_box_width_w_backward_IQR,97,IQR,backward,False
d_blob_box_width_w_forward_10th,87,10th,forward,False
d_blob_box_width_w_forward_50th,83,50th,forward,False
d_blob_box_width_w_forward_90th,5,90th,forward,False
d_blob_box_width_w_forward_IQR,5,IQR,forward,False
d_blob_box_width_w_paused_10th,86,10th,paused,False
d_blob_box_width_w_paused_50th,75,50th,paused,False
d_blob_box_width_w_paused_90th,97,90th,paused,False
d_blob_box_width_w_paused_IQR,97,IQR,paused,False
d_blob_compactness_10th,87,10th,none,False
d_blob_compactness_50th,78,50th,none,False
d_blob_compactness_90th,39,90th,none,False
d_blob_compactness_IQR,39,IQR,none,False
d_blob_compactness_w_backward_10th,86,10th,backward,False
d_blob_compactness_w_backward_50th,24,50th,backward,False
d_blob_compactness_w_backward_90th,39,90th,backward,False
d_blob_compactness_w_backward_IQR,97,IQR,backward,False
d_blob_compactness_w_forward_10th,88,10th,forward,False
d_blob_compactness_w_forward_50th,57,50th,forward,False
d_blob_compactness_w_forward_90th,39,90th,forward,False
d_blob_compactness_w_forward_IQR,39,IQR,forward,False
d_blob_compactness_w_paused_10th,86,10th,paused,False
d_blob_compactness_w_paused_50th,72,50th,paused,False
d_blob_compactness_w_paused_90th,97,90th,paused,False
d_blob_compactness_w_paused_IQR,97,IQR,paused,False
d_blob_hu0_10th,81,10th,none,False
d_blob_hu0_50th,31,50th,none,False
d_blob_hu0_90th,49,90th,none,False
d_blob_hu0_IQR,49,IQR,none,False
d_blob_hu0_w_backward_10th,81,10th,backward,True
d_blob_hu0_w_backward_50th,20,50th,backward,False
d_blob_hu0_w_backward_90th,49,90th,backward,False
d_blob_hu0_w_backward_IQR,49,IQR,backward,False
d_blob_hu0_w_forward_10th,80,10th,forward,False
d_blob_hu0_w_forward_50th,27,50th,forward,False
d_blob_hu0_w_forward_90th,69,90th,forward,False
d_blob_hu0_w_forward_IQR,49,IQR,forward,False
d_blob_hu0_w_paused_10th,65,10th,paused,False
d_blob_hu0_w_paused_50th,43,50th,paused,False
d_blob_hu0_w_paused_90th,21,90th,paused,False
d_blob_hu0_w_paused_IQR,21,IQR,paused,False
d_blob_hu1_10th,81,10th,none,False
d_blob_hu1_50th,31,50th,none,False
d_blob_hu1_90th,49,90th,none,True
d_blob_hu1_IQR,49,IQR,none,False
d_blob_hu1_w_backward_10th,81,10th,backward,False
d_blob_hu1_w_backward_50th,20,50th,backward,False
d_blob_hu1_w_backward_90th,49,90th,backward,False
d_blob_hu1_w_backward_IQR,49,IQR,backward,False
d_blob_hu1_w_forward_10th,80,10th,forward,True
d_blob_hu1_w_forward_50th,27,50th,forward,False
d_blob_hu1_w_forward_90th,69,90th,forward,True
d_blob_hu1_w_forward_IQR,49,IQR,forward,False
d_blob_hu1_w_paused_10th,65,10th,paused,False
d_blob_hu1_w_paused_50th,43,50th,paused,True
d_blob_hu1_w_paused_90th,21,90th,paused,True
d_blob_hu1_w_paused_IQR,21,IQR,paused,False
d_blob_hu2_10th,81,10th,none,False
d_blob_hu2_50th,31,50th,none,False
d_blob_hu2_90th,49,90th,none,False
d_blob_hu2_IQR,49,IQR,none,False
d_blob_hu2_w_backward_10th,81,10th,backward,False
d_blob_hu2_w_backward_50th,20,50th,backward,False
d_blob_hu2_w_backward_90th,20,90th,backward,False
d_blob_hu2_w_backward_IQR,20,IQR,backward,False
d_blob_hu2_w_forward_10th,80,10th,forward,False
d_blob_hu2_w_forward_50th,33,50th,forward,True
d_blob_hu2_w_forward_90th,69,90th,forward,False
d_blob_hu2_w_forward_IQR,49,IQR,forward,False
d_blob_hu2_w_paused_10th,65,10th,paused,False
d_blob_hu2_w_paused_50th,43,50th,paused,False
d_blob_hu2_w_paused_90th,22,90th,paused,False
d_blob_hu2_w_paused_IQR,21,IQR,paused,False
d_blob_hu3_10th,81,10th,none,False
d_blob_hu3_50th,31,50th,none,False
d_blob_hu3_90th,49,90th,none,False
d_blob_hu3_IQR,49,IQR,none,False
d_blob_hu3_w_backward_10th,81,10th,backward,False
d_blob_hu3_w_backward_50th,20,50th,backward,False
d_blob_hu3_w_backward_90th,20,90th,backward,False
d_blob_hu3_w_backward_IQR,20,IQR,backward,False
d_blob_hu3_w_forward_10th,80,10th,forward,False
d_blob_hu3_w_forward_50th,33,50th,forward,False
d_blob_hu3_w_forward_90th,69,90th,forward,False
d_blob_hu3_w_forward_IQR,49,IQR,forward,False
d_blob_hu3_w_paused_10th,65,10th,paused,False
d_blob_hu3_w_paused_50th,43,50th,paused,False
d_blob_hu3_w_paused_90th,22,90th,paused,False
d_blob_hu3_w_paused_IQR,21,IQR,paused,False
d_blob_hu4_10th,81,10th,none,False
d_blob_hu4_50th,31,50th,none,False
d_blob_hu4_90th,15,90th,none,False
d_blob_hu4_IQR,15,IQR,none,False
d_blob_hu4_w_backward_10th,81,10th,backward,False
d_blob_hu4_w_backward_50th,20,50th,backward,False
d_blob_hu4_w_backward_90th,20,90th,backward,True
d_blob_hu4_w_backward_IQR,20,IQR,backward,False
d_blob_hu4_w_forward_10th,80,10th,forward,False
d_blob_hu4_w_forward_50th,37,50th,forward,False
d_blob_hu4_w_forward_90th,69,90th,forward,False
d_blob_hu4_w_forward_IQR,69,IQR,forward,False
d_blob_hu4_w_paused_10th,65,10th,paused,False
d_blob_hu4_w_paused_50th,21,50th,paused,False
d_blob_hu4_w_paused_90th,22,90th,paused,False
d_blob_hu4_w_paused_IQR,21,IQR,paused,False
d_blob_hu5_10th,81,10th,none,False
d_blob_hu5_50th,31,50th,none,False
d_blob_hu5_90th,49,90th,none,False
d_blob_hu5_IQR,49,IQR,none,False
d_blob_hu5_w_backward_10th,81,10th,backward,False
d_blob_hu5_w_backward_50th,20,50th,backward,False
d_blob_hu5_w_backward_90th,20,90th,backward,False
d_blob_hu5_w_backward_IQR,20,IQR,backward,False
d_blob_hu5_w_forward_10th,80,10th,forward,False
d_blob_hu5_w_forward_50th,37,50th,forward,True
d_blob_hu5_w_forward_90th,69,90th,forward,False
d_blob_hu5_w_forward_IQR,49,IQR,forward,False
d_blob_hu5_w_paused_10th,65,10th,paused,False
d_blob_hu5_w_paused_50th,43,50th,paused,False
d_blob_hu5_w_paused_90th,22,90th,paused,False
d_blob_hu5_w_paused_IQR,21,IQR,paused,False
d_blob_hu6_10th,94,10th,none,False
d_blob_hu6_50th,38,50th,none,True
d_blob_hu6_90th,71,90th,none,False
d_blob_hu6_IQR,71,IQR,none,False
d_blob_hu6_w_backward_10th,81,10th,backward,False
d_blob_hu6_w_backward_50th,20,50th,backward,False
d_blob_hu6_w_backward_90th,20,90th,backward,False
d_blob_hu6_w_backward_IQR,20,IQR,backward,False
d_blob_hu6_w_forward_10th,94,10th,forward,False
d_blob_hu6_w_forward_50th,33,50th,forward,False
d_blob_hu6_w_forward_90th,69,90th,forward,False
d_blob_hu6_w_forward_IQR,69,IQR,forward,False
d_blob_hu6_w_paused_10th,65,10th,paused,False
d_blob_hu6_w_paused_50th,72,50th,paused,False
d_blob_hu6_w_paused_90th,22,90th,paused,False
d_blob_hu6_w_paused_IQR,21,IQR,paused,False
d_blob_perimeter_10th,87,10th,none,False
d_blob_perimeter_50th,31,50th,none,True
d_blob_perimeter_90th,39,90th,none,False
d_blob_perimeter_IQR,39,IQR,none,False
d_blob_perimeter_w_backward_10th,86,10th,backward,False
d_blob_perimeter_w_backward_50th,70,50th,backward,True
d_blob_perimeter_w_backward_90th,39,90th,backward,False
d_blob_perimeter_w_backward_IQR,97,IQR,backward,False
d_blob_perimeter_w_forward_10th,87,10th,forward,False
d_blob_perimeter_w_forward_50th,28,50th,forward,False
d_blob_perimeter_w_forward_90th,39,90th,forward,False
d_blob_perimeter_w_forward_IQR,39,IQR,forward,False
d_blob_perimeter_w_paused_10th,86,10th,paused,False
d_blob_perimeter_w_paused_50th,45,50th,paused,False
d_blob_perimeter_w_paused_90th,97,90th,paused,False
d_blob_perimeter_w_paused_IQR,97,IQR,paused,False
d_blob_quirkiness_10th,87,10th,none,False
