imaging_plate_row,imaging_plate_column,well_name,imaging_plate_id,start_well,end_well,worm_strain,bacteria_strain,wormsorter_start_time,wormsorter_end_time,middle_wormsorter_time,cave_time,recording_time,media_type,number_worms_per_well,date_bleached_yyyymmdd,date_refed_yyyymmdd,days_in_diapause,cave_temp_oC,cave_humidity_percent,date_plates_poured_yyyymmdd,comments,start_row,end_row,start_column,end_column
C,8,C8,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
C,9,C9,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
C,10,C10,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
C,11,C11,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
C,12,C12,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,1,D1,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,2,D2,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,3,D3,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,4,D4,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,5,D5,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,6,D6,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,7,D7,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,8,D8,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,9,D9,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,10,D10,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,11,D11,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
D,12,D12,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,1,E1,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,2,E2,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,3,E3,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
