source_slot,source_well,destination_slot,destination_well,volume
9,H1,4,H3,5
9,A1,4,A1,5
9,B1,4,B1,5
9,C1,4,C1,5
9,D1,4,D1,5
9,E1,4,E1,5
9,F1,4,F1,5
9,G1,4,G1,5
9,H1,4,H1,5
9,A1,4,A10,5
9,B1,4,B10,5
9,C1,4,C10,5
9,D1,4,D10,5
9,E1,4,E10,5
9,F1,4,F10,5
9,G1,4,G10,5
9,H1,4,H10,5
9,A1,4,A2,5
9,B1,4,B2,5
9,C1,4,C2,5
9,D1,4,D2,5
9,E1,4,E2,5
9,F1,4,F2,5
9,G1,4,G2,5
9,H1,4,H2,5
9,A1,4,A7,5
9,B1,4,B7,5
9,C1,4,C7,5
9,D1,4,D7,5
9,E1,4,E7,5
9,F1,4,F7,5
9,G1,4,G7,5
9,H1,4,H7,5
9,A1,4,A5,5
9,B1,4,B5,5
9,C1,4,C5,5
9,D1,4,D5,5
9,E1,4,E5,5
9,F1,4,F5,5
9,G1,4,G5,5
9,H1,4,H5,5
9,A1,4,A9,5
9,B1,4,B9,5
9,C1,4,C9,5
9,D1,4,D9,5
9,E1,4,E9,5
9,F1,4,F9,5
9,G1,4,G9,5
9,H1,4,H9,5
9,A1,4,A11,5
9,B1,4,B11,5
9,C1,4,C11,5
9,D1,4,D11,5
9,E1,4,E11,5
9,F1,4,F11,5
9,G1,4,G11,5
9,H1,4,H11,5
2,A1,4,A4,3
2,B1,4,B4,3
2,C1,4,C4,3
2,D1,4,D4,3
2,E1,4,E4,3
2,F1,4,F4,3
2,G1,4,G4,3
2,H1,4,H4,3
2,A2,4,A6,3
2,B2,4,B6,3
2,C2,4,C6,3
2,D2,4,D6,3
2,E2,4,E6,3
2,F2,4,F6,3
2,G2,4,G6,3
2,H2,4,H6,3
2,A3,4,A8,3
2,B3,4,B8,3
2,C3,4,C8,3
2,D3,4,D8,3
2,E3,4,E8,3
2,F3,4,F8,3
2,G3,4,G8,3
2,H3,4,H8,3
2,A4,4,A12,3
