masked_video,run_number,wells_checked
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145410.22956806/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145410.22956837/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145410.22956822/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145410.22956839/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145410.22956836/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145410.22956829/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145432.22956832/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145432.22956818/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145432.22956807/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145432.22956805/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145432.22956816/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145432.22956813/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145522.22956823/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145522.22956814/metadata.hdf5,2,TRUE
