,group_label,stat_label,motion_label
speed_10th,speed,10th,none
angular_velocity_abs_10th,angular_velocity_abs,10th,none
relative_to_body_speed_midbody_abs_10th,relative_to_speed_abs,10th,none
relative_to_body_radial_velocity_head_tip_10th,relative_to_radial_velocity_head_tip,10th,none
relative_to_body_angular_velocity_head_tip_abs_10th,relative_to_angular_velocity_head_tip_abs,10th,none
relative_to_body_radial_velocity_neck_10th,relative_to_radial_velocity,10th,none
relative_to_body_angular_velocity_neck_abs_10th,relative_to_angular_velocity_abs,10th,none
relative_to_body_radial_velocity_hips_10th,relative_to_radial_velocity,10th,none
relative_to_body_angular_velocity_hips_abs_10th,relative_to_angular_velocity_abs,10th,none
relative_to_body_radial_velocity_tail_tip_10th,relative_to_radial_velocity,10th,none
relative_to_body_angular_velocity_tail_tip_abs_10th,relative_to_angular_velocity_abs,10th,none
speed_neck_10th,speed,10th,none
angular_velocity_neck_abs_10th,angular_velocity_abs,10th,none
relative_to_neck_radial_velocity_head_tip_10th,relative_to_radial_velocity_head_tip,10th,none
relative_to_neck_angular_velocity_head_tip_abs_10th,relative_to_angular_velocity_head_tip_abs,10th,none
speed_head_base_10th,speed,10th,none
angular_velocity_head_base_abs_10th,angular_velocity_abs,10th,none
relative_to_head_base_radial_velocity_head_tip_10th,relative_to_radial_velocity_head_tip,10th,none
relative_to_head_base_angular_velocity_head_tip_abs_10th,relative_to_angular_velocity_head_tip_abs,10th,none
speed_hips_10th,speed,10th,none
angular_velocity_hips_abs_10th,angular_velocity_abs,10th,none
relative_to_hips_radial_velocity_tail_tip_10th,relative_to_radial_velocity,10th,none
relative_to_hips_angular_velocity_tail_tip_abs_10th,relative_to_angular_velocity_abs,10th,none
speed_tail_base_10th,speed,10th,none
angular_velocity_tail_base_abs_10th,angular_velocity_abs,10th,none
relative_to_tail_base_radial_velocity_tail_tip_10th,relative_to_radial_velocity,10th,none
relative_to_tail_base_angular_velocity_tail_tip_abs_10th,relative_to_angular_velocity_abs,10th,none
speed_midbody_10th,speed,10th,none
angular_velocity_midbody_abs_10th,angular_velocity_abs,10th,none
speed_head_tip_10th,speed_head_tip,10th,none
angular_velocity_head_tip_abs_10th,angular_velocity_head_tip_abs,10th,none
speed_tail_tip_10th,speed,10th,none
angular_velocity_tail_tip_abs_10th,angular_velocity_abs,10th,none
length_10th,length,10th,none
area_10th,area,10th,none
width_head_base_10th,width,10th,none
width_midbody_10th,width,10th,none
width_tail_base_10th,width,10th,none
quirkiness_10th,quirkiness,10th,none
major_axis_10th,major_axis,10th,none
minor_axis_10th,minor_axis,10th,none
eigen_projection_1_abs_10th,eigen_projection_1_abs,10th,none
eigen_projection_2_abs_10th,eigen_projection_2_abs,10th,none
eigen_projection_3_abs_10th,eigen_projection_3_abs,10th,none
eigen_projection_4_abs_10th,eigen_projection_4_abs,10th,none
eigen_projection_5_abs_10th,eigen_projection_5_abs,10th,none
eigen_projection_6_abs_10th,eigen_projection_6_abs,10th,none
eigen_projection_7_abs_10th,eigen_projection_7_abs,10th,none
curvature_head_abs_10th,curvature_abs,10th,none
curvature_hips_abs_10th,curvature_abs,10th,none
curvature_midbody_abs_10th,curvature_abs,10th,none
curvature_neck_abs_10th,curvature_abs,10th,none
curvature_tail_abs_10th,curvature_abs,10th,none
curvature_mean_head_abs_10th,curvature_abs,10th,none
curvature_mean_neck_abs_10th,curvature_abs,10th,none
curvature_mean_midbody_abs_10th,curvature_abs,10th,none
curvature_mean_hips_abs_10th,curvature_abs,10th,none
curvature_mean_tail_abs_10th,curvature_abs,10th,none
curvature_std_head_abs_10th,curvature_abs,10th,none
curvature_std_neck_abs_10th,curvature_abs,10th,none
curvature_std_midbody_abs_10th,curvature_abs,10th,none
curvature_std_hips_abs_10th,curvature_abs,10th,none
curvature_std_tail_abs_10th,curvature_abs,10th,none
dist_from_food_edge_10th,dist_from_food,10th,none
path_curvature_body_abs_10th,path_curvature_abs,10th,none
path_curvature_tail_abs_10th,path_curvature_abs,10th,none
path_curvature_midbody_abs_10th,path_curvature_abs,10th,none
path_curvature_head_abs_10th,path_curvature_abs,10th,none
d_speed_10th,d_speed,10th,none
d_angular_velocity_abs_10th,d_angular_velocity_abs,10th,none
d_relative_to_body_speed_midbody_abs_10th,d_relative_to_speed_abs,10th,none
d_relative_to_body_radial_velocity_head_tip_10th,d_relative_to_radial_velocity_head_tip,10th,none
d_relative_to_body_angular_velocity_head_tip_abs_10th,d_relative_to_angular_velocity_head_tip_abs,10th,none
d_relative_to_body_radial_velocity_neck_10th,d_relative_to_radial_velocity,10th,none
d_relative_to_body_angular_velocity_neck_abs_10th,d_relative_to_angular_velocity_abs,10th,none
d_relative_to_body_radial_velocity_hips_10th,d_relative_to_radial_velocity,10th,none
d_relative_to_body_angular_velocity_hips_abs_10th,d_relative_to_angular_velocity_abs,10th,none
d_relative_to_body_radial_velocity_tail_tip_10th,d_relative_to_radial_velocity,10th,none
d_relative_to_body_angular_velocity_tail_tip_abs_10th,d_relative_to_angular_velocity_abs,10th,none
d_speed_neck_10th,d_speed,10th,none
d_angular_velocity_neck_abs_10th,d_angular_velocity_abs,10th,none
d_relative_to_neck_radial_velocity_head_tip_10th,d_relative_to_radial_velocity_head_tip,10th,none
d_relative_to_neck_angular_velocity_head_tip_abs_10th,d_relative_to_angular_velocity_head_tip_abs,10th,none
d_speed_head_base_10th,d_speed,10th,none
d_angular_velocity_head_base_abs_10th,d_angular_velocity_abs,10th,none
d_relative_to_head_base_radial_velocity_head_tip_10th,d_relative_to_radial_velocity_head_tip,10th,none
d_relative_to_head_base_angular_velocity_head_tip_abs_10th,d_relative_to_angular_velocity_head_tip_abs,10th,none
d_speed_hips_10th,d_speed,10th,none
d_angular_velocity_hips_abs_10th,d_angular_velocity_abs,10th,none
d_relative_to_hips_radial_velocity_tail_tip_10th,d_relative_to_radial_velocity,10th,none
d_relative_to_hips_angular_velocity_tail_tip_abs_10th,d_relative_to_angular_velocity_abs,10th,none
d_speed_tail_base_10th,d_speed,10th,none
d_angular_velocity_tail_base_abs_10th,d_angular_velocity_abs,10th,none
d_relative_to_tail_base_radial_velocity_tail_tip_10th,d_relative_to_radial_velocity,10th,none
d_relative_to_tail_base_angular_velocity_tail_tip_abs_10th,d_relative_to_angular_velocity_abs,10th,none
d_speed_midbody_10th,d_speed,10th,none
d_angular_velocity_midbody_abs_10th,d_angular_velocity_abs,10th,none
d_speed_head_tip_10th,d_speed_head_tip,10th,none
d_angular_velocity_head_tip_abs_10th,d_angular_velocity_head_tip_abs,10th,none
d_speed_tail_tip_10th,d_speed,10th,none
d_angular_velocity_tail_tip_abs_10th,d_angular_velocity_abs,10th,none
d_length_10th,d_length,10th,none
d_area_10th,d_area,10th,none
d_width_head_base_10th,d_width,10th,none
d_width_midbody_10th,d_width,10th,none
d_width_tail_base_10th,d_width,10th,none
d_quirkiness_10th,d_quirkiness,10th,none
d_major_axis_10th,d_major_axis,10th,none
d_minor_axis_10th,d_minor_axis,10th,none
d_eigen_projection_1_abs_10th,d_eigen_projection_1_abs,10th,none
d_eigen_projection_2_abs_10th,d_eigen_projection_2_abs,10th,none
d_eigen_projection_3_abs_10th,d_eigen_projection_3_abs,10th,none
d_eigen_projection_4_abs_10th,d_eigen_projection_4_abs,10th,none
d_eigen_projection_5_abs_10th,d_eigen_projection_5_abs,10th,none
d_eigen_projection_6_abs_10th,d_eigen_projection_6_abs,10th,none
d_eigen_projection_7_abs_10th,d_eigen_projection_7_abs,10th,none
d_curvature_head_abs_10th,d_curvature_abs,10th,none
d_curvature_hips_abs_10th,d_curvature_abs,10th,none
d_curvature_midbody_abs_10th,d_curvature_abs,10th,none
d_curvature_neck_abs_10th,d_curvature_abs,10th,none
d_curvature_tail_abs_10th,d_curvature_abs,10th,none
d_curvature_mean_head_abs_10th,d_curvature_abs,10th,none
d_curvature_mean_neck_abs_10th,d_curvature_abs,10th,none
d_curvature_mean_midbody_abs_10th,d_curvature_abs,10th,none
d_curvature_mean_hips_abs_10th,d_curvature_abs,10th,none
d_curvature_mean_tail_abs_10th,d_curvature_abs,10th,none
d_curvature_std_head_abs_10th,d_curvature_abs,10th,none
d_curvature_std_neck_abs_10th,d_curvature_abs,10th,none
d_curvature_std_midbody_abs_10th,d_curvature_abs,10th,none
d_curvature_std_hips_abs_10th,d_curvature_abs,10th,none
d_curvature_std_tail_abs_10th,d_curvature_abs,10th,none
d_orientation_food_edge_10th,d_orientation_food,10th,none
d_dist_from_food_edge_10th,d_dist_from_food,10th,none
d_path_curvature_body_abs_10th,d_path_curvature_abs,10th,none
d_path_curvature_tail_abs_10th,d_path_curvature_abs,10th,none
d_path_curvature_midbody_abs_10th,d_path_curvature_abs,10th,none
d_path_curvature_head_abs_10th,d_path_curvature_abs,10th,none
orientation_food_edge_in_outside_10th,orientation_food_in,10th,none
orientation_food_edge_in_inside_10th,orientation_food_in,10th,none
orientation_food_edge_in_edge_10th,orientation_food_in,10th,none
speed_50th,speed,50th,none
angular_velocity_abs_50th,angular_velocity_abs,50th,none
relative_to_body_speed_midbody_abs_50th,relative_to_speed_abs,50th,none
relative_to_body_radial_velocity_head_tip_50th,relative_to_radial_velocity_head_tip,50th,none
relative_to_body_angular_velocity_head_tip_abs_50th,relative_to_angular_velocity_head_tip_abs,50th,none
relative_to_body_radial_velocity_neck_50th,relative_to_radial_velocity,50th,none
relative_to_body_angular_velocity_neck_abs_50th,relative_to_angular_velocity_abs,50th,none
relative_to_body_radial_velocity_hips_50th,relative_to_radial_velocity,50th,none
relative_to_body_angular_velocity_hips_abs_50th,relative_to_angular_velocity_abs,50th,none
relative_to_body_radial_velocity_tail_tip_50th,relative_to_radial_velocity,50th,none
relative_to_body_angular_velocity_tail_tip_abs_50th,relative_to_angular_velocity_abs,50th,none
speed_neck_50th,speed,50th,none
angular_velocity_neck_abs_50th,angular_velocity_abs,50th,none
relative_to_neck_radial_velocity_head_tip_50th,relative_to_radial_velocity_head_tip,50th,none
relative_to_neck_angular_velocity_head_tip_abs_50th,relative_to_angular_velocity_head_tip_abs,50th,none
speed_head_base_50th,speed,50th,none
angular_velocity_head_base_abs_50th,angular_velocity_abs,50th,none
relative_to_head_base_radial_velocity_head_tip_50th,relative_to_radial_velocity_head_tip,50th,none
relative_to_head_base_angular_velocity_head_tip_abs_50th,relative_to_angular_velocity_head_tip_abs,50th,none
speed_hips_50th,speed,50th,none
angular_velocity_hips_abs_50th,angular_velocity_abs,50th,none
relative_to_hips_radial_velocity_tail_tip_50th,relative_to_radial_velocity,50th,none
relative_to_hips_angular_velocity_tail_tip_abs_50th,relative_to_angular_velocity_abs,50th,none
speed_tail_base_50th,speed,50th,none
angular_velocity_tail_base_abs_50th,angular_velocity_abs,50th,none
relative_to_tail_base_radial_velocity_tail_tip_50th,relative_to_radial_velocity,50th,none
relative_to_tail_base_angular_velocity_tail_tip_abs_50th,relative_to_angular_velocity_abs,50th,none
speed_midbody_50th,speed,50th,none
angular_velocity_midbody_abs_50th,angular_velocity_abs,50th,none
speed_head_tip_50th,speed_head_tip,50th,none
angular_velocity_head_tip_abs_50th,angular_velocity_head_tip_abs,50th,none
speed_tail_tip_50th,speed,50th,none
angular_velocity_tail_tip_abs_50th,angular_velocity_abs,50th,none
length_50th,length,50th,none
area_50th,area,50th,none
width_head_base_50th,width,50th,none
width_midbody_50th,width,50th,none
width_tail_base_50th,width,50th,none
quirkiness_50th,quirkiness,50th,none
major_axis_50th,major_axis,50th,none
minor_axis_50th,minor_axis,50th,none
eigen_projection_1_abs_50th,eigen_projection_1_abs,50th,none
eigen_projection_2_abs_50th,eigen_projection_2_abs,50th,none
eigen_projection_3_abs_50th,eigen_projection_3_abs,50th,none
eigen_projection_4_abs_50th,eigen_projection_4_abs,50th,none
eigen_projection_5_abs_50th,eigen_projection_5_abs,50th,none
eigen_projection_6_abs_50th,eigen_projection_6_abs,50th,none
eigen_projection_7_abs_50th,eigen_projection_7_abs,50th,none
curvature_head_abs_50th,curvature_abs,50th,none
curvature_hips_abs_50th,curvature_abs,50th,none
curvature_midbody_abs_50th,curvature_abs,50th,none
curvature_neck_abs_50th,curvature_abs,50th,none
curvature_tail_abs_50th,curvature_abs,50th,none
curvature_mean_head_abs_50th,curvature_abs,50th,none
curvature_mean_neck_abs_50th,curvature_abs,50th,none
curvature_mean_midbody_abs_50th,curvature_abs,50th,none
curvature_mean_hips_abs_50th,curvature_abs,50th,none
curvature_mean_tail_abs_50th,curvature_abs,50th,none
curvature_std_head_abs_50th,curvature_abs,50th,none
curvature_std_neck_abs_50th,curvature_abs,50th,none
curvature_std_midbody_abs_50th,curvature_abs,50th,none
curvature_std_hips_abs_50th,curvature_abs,50th,none
curvature_std_tail_abs_50th,curvature_abs,50th,none
dist_from_food_edge_50th,dist_from_food,50th,none
path_curvature_body_abs_50th,path_curvature_abs,50th,none
path_curvature_tail_abs_50th,path_curvature_abs,50th,none
path_curvature_midbody_abs_50th,path_curvature_abs,50th,none
path_curvature_head_abs_50th,path_curvature_abs,50th,none
d_speed_50th,d_speed,50th,none
d_angular_velocity_abs_50th,d_angular_velocity_abs,50th,none
d_relative_to_body_speed_midbody_abs_50th,d_relative_to_speed_abs,50th,none
d_relative_to_body_radial_velocity_head_tip_50th,d_relative_to_radial_velocity_head_tip,50th,none
d_relative_to_body_angular_velocity_head_tip_abs_50th,d_relative_to_angular_velocity_head_tip_abs,50th,none
d_relative_to_body_radial_velocity_neck_50th,d_relative_to_radial_velocity,50th,none
d_relative_to_body_angular_velocity_neck_abs_50th,d_relative_to_angular_velocity_abs,50th,none
d_relative_to_body_radial_velocity_hips_50th,d_relative_to_radial_velocity,50th,none
d_relative_to_body_angular_velocity_hips_abs_50th,d_relative_to_angular_velocity_abs,50th,none
d_relative_to_body_radial_velocity_tail_tip_50th,d_relative_to_radial_velocity,50th,none
d_relative_to_body_angular_velocity_tail_tip_abs_50th,d_relative_to_angular_velocity_abs,50th,none
d_speed_neck_50th,d_speed,50th,none
d_angular_velocity_neck_abs_50th,d_angular_velocity_abs,50th,none
d_relative_to_neck_radial_velocity_head_tip_50th,d_relative_to_radial_velocity_head_tip,50th,none
d_relative_to_neck_angular_velocity_head_tip_abs_50th,d_relative_to_angular_velocity_head_tip_abs,50th,none
d_speed_head_base_50th,d_speed,50th,none
d_angular_velocity_head_base_abs_50th,d_angular_velocity_abs,50th,none
d_relative_to_head_base_radial_velocity_head_tip_50th,d_relative_to_radial_velocity_head_tip,50th,none
d_relative_to_head_base_angular_velocity_head_tip_abs_50th,d_relative_to_angular_velocity_head_tip_abs,50th,none
d_speed_hips_50th,d_speed,50th,none
d_angular_velocity_hips_abs_50th,d_angular_velocity_abs,50th,none
d_relative_to_hips_radial_velocity_tail_tip_50th,d_relative_to_radial_velocity,50th,none
d_relative_to_hips_angular_velocity_tail_tip_abs_50th,d_relative_to_angular_velocity_abs,50th,none
d_speed_tail_base_50th,d_speed,50th,none
d_angular_velocity_tail_base_abs_50th,d_angular_velocity_abs,50th,none
d_relative_to_tail_base_radial_velocity_tail_tip_50th,d_relative_to_radial_velocity,50th,none
d_relative_to_tail_base_angular_velocity_tail_tip_abs_50th,d_relative_to_angular_velocity_abs,50th,none
d_speed_midbody_50th,d_speed,50th,none
d_angular_velocity_midbody_abs_50th,d_angular_velocity_abs,50th,none
d_speed_head_tip_50th,d_speed_head_tip,50th,none
d_angular_velocity_head_tip_abs_50th,d_angular_velocity_head_tip_abs,50th,none
d_speed_tail_tip_50th,d_speed,50th,none
d_angular_velocity_tail_tip_abs_50th,d_angular_velocity_abs,50th,none
d_length_50th,d_length,50th,none
d_area_50th,d_area,50th,none
d_width_head_base_50th,d_width,50th,none
d_width_midbody_50th,d_width,50th,none
d_width_tail_base_50th,d_width,50th,none
d_quirkiness_50th,d_quirkiness,50th,none
d_major_axis_50th,d_major_axis,50th,none
d_minor_axis_50th,d_minor_axis,50th,none
d_eigen_projection_1_abs_50th,d_eigen_projection_1_abs,50th,none
d_eigen_projection_2_abs_50th,d_eigen_projection_2_abs,50th,none
d_eigen_projection_3_abs_50th,d_eigen_projection_3_abs,50th,none
d_eigen_projection_4_abs_50th,d_eigen_projection_4_abs,50th,none
d_eigen_projection_5_abs_50th,d_eigen_projection_5_abs,50th,none
d_eigen_projection_6_abs_50th,d_eigen_projection_6_abs,50th,none
d_eigen_projection_7_abs_50th,d_eigen_projection_7_abs,50th,none
d_curvature_head_abs_50th,d_curvature_abs,50th,none
d_curvature_hips_abs_50th,d_curvature_abs,50th,none
d_curvature_midbody_abs_50th,d_curvature_abs,50th,none
d_curvature_neck_abs_50th,d_curvature_abs,50th,none
d_curvature_tail_abs_50th,d_curvature_abs,50th,none
d_curvature_mean_head_abs_50th,d_curvature_abs,50th,none
d_curvature_mean_neck_abs_50th,d_curvature_abs,50th,none
d_curvature_mean_midbody_abs_50th,d_curvature_abs,50th,none
d_curvature_mean_hips_abs_50th,d_curvature_abs,50th,none
d_curvature_mean_tail_abs_50th,d_curvature_abs,50th,none
d_curvature_std_head_abs_50th,d_curvature_abs,50th,none
d_curvature_std_neck_abs_50th,d_curvature_abs,50th,none
d_curvature_std_midbody_abs_50th,d_curvature_abs,50th,none
d_curvature_std_hips_abs_50th,d_curvature_abs,50th,none
d_curvature_std_tail_abs_50th,d_curvature_abs,50th,none
d_orientation_food_edge_50th,d_orientation_food,50th,none
d_dist_from_food_edge_50th,d_dist_from_food,50th,none
d_path_curvature_body_abs_50th,d_path_curvature_abs,50th,none
d_path_curvature_tail_abs_50th,d_path_curvature_abs,50th,none
d_path_curvature_midbody_abs_50th,d_path_curvature_abs,50th,none
d_path_curvature_head_abs_50th,d_path_curvature_abs,50th,none
orientation_food_edge_in_outside_50th,orientation_food_in,50th,none
orientation_food_edge_in_inside_50th,orientation_food_in,50th,none
orientation_food_edge_in_edge_50th,orientation_food_in,50th,none
speed_90th,speed,90th,none
angular_velocity_abs_90th,angular_velocity_abs,90th,none
relative_to_body_speed_midbody_abs_90th,relative_to_speed_abs,90th,none
relative_to_body_radial_velocity_head_tip_90th,relative_to_radial_velocity_head_tip,90th,none
relative_to_body_angular_velocity_head_tip_abs_90th,relative_to_angular_velocity_head_tip_abs,90th,none
relative_to_body_radial_velocity_neck_90th,relative_to_radial_velocity,90th,none
relative_to_body_angular_velocity_neck_abs_90th,relative_to_angular_velocity_abs,90th,none
relative_to_body_radial_velocity_hips_90th,relative_to_radial_velocity,90th,none
relative_to_body_angular_velocity_hips_abs_90th,relative_to_angular_velocity_abs,90th,none
relative_to_body_radial_velocity_tail_tip_90th,relative_to_radial_velocity,90th,none
relative_to_body_angular_velocity_tail_tip_abs_90th,relative_to_angular_velocity_abs,90th,none
speed_neck_90th,speed,90th,none
angular_velocity_neck_abs_90th,angular_velocity_abs,90th,none
relative_to_neck_radial_velocity_head_tip_90th,relative_to_radial_velocity_head_tip,90th,none
relative_to_neck_angular_velocity_head_tip_abs_90th,relative_to_angular_velocity_head_tip_abs,90th,none
speed_head_base_90th,speed,90th,none
angular_velocity_head_base_abs_90th,angular_velocity_abs,90th,none
relative_to_head_base_radial_velocity_head_tip_90th,relative_to_radial_velocity_head_tip,90th,none
relative_to_head_base_angular_velocity_head_tip_abs_90th,relative_to_angular_velocity_head_tip_abs,90th,none
speed_hips_90th,speed,90th,none
angular_velocity_hips_abs_90th,angular_velocity_abs,90th,none
relative_to_hips_radial_velocity_tail_tip_90th,relative_to_radial_velocity,90th,none
relative_to_hips_angular_velocity_tail_tip_abs_90th,relative_to_angular_velocity_abs,90th,none
speed_tail_base_90th,speed,90th,none
angular_velocity_tail_base_abs_90th,angular_velocity_abs,90th,none
relative_to_tail_base_radial_velocity_tail_tip_90th,relative_to_radial_velocity,90th,none
relative_to_tail_base_angular_velocity_tail_tip_abs_90th,relative_to_angular_velocity_abs,90th,none
speed_midbody_90th,speed,90th,none
angular_velocity_midbody_abs_90th,angular_velocity_abs,90th,none
speed_head_tip_90th,speed_head_tip,90th,none
angular_velocity_head_tip_abs_90th,angular_velocity_head_tip_abs,90th,none
speed_tail_tip_90th,speed,90th,none
angular_velocity_tail_tip_abs_90th,angular_velocity_abs,90th,none
length_90th,length,90th,none
area_90th,area,90th,none
width_head_base_90th,width,90th,none
width_midbody_90th,width,90th,none
width_tail_base_90th,width,90th,none
quirkiness_90th,quirkiness,90th,none
major_axis_90th,major_axis,90th,none
minor_axis_90th,minor_axis,90th,none
eigen_projection_1_abs_90th,eigen_projection_1_abs,90th,none
eigen_projection_2_abs_90th,eigen_projection_2_abs,90th,none
eigen_projection_3_abs_90th,eigen_projection_3_abs,90th,none
eigen_projection_4_abs_90th,eigen_projection_4_abs,90th,none
eigen_projection_5_abs_90th,eigen_projection_5_abs,90th,none
eigen_projection_6_abs_90th,eigen_projection_6_abs,90th,none
eigen_projection_7_abs_90th,eigen_projection_7_abs,90th,none
curvature_head_abs_90th,curvature_abs,90th,none
curvature_hips_abs_90th,curvature_abs,90th,none
curvature_midbody_abs_90th,curvature_abs,90th,none
curvature_neck_abs_90th,curvature_abs,90th,none
curvature_tail_abs_90th,curvature_abs,90th,none
curvature_mean_head_abs_90th,curvature_abs,90th,none
curvature_mean_neck_abs_90th,curvature_abs,90th,none
curvature_mean_midbody_abs_90th,curvature_abs,90th,none
curvature_mean_hips_abs_90th,curvature_abs,90th,none
curvature_mean_tail_abs_90th,curvature_abs,90th,none
curvature_std_head_abs_90th,curvature_abs,90th,none
curvature_std_neck_abs_90th,curvature_abs,90th,none
curvature_std_midbody_abs_90th,curvature_abs,90th,none
curvature_std_hips_abs_90th,curvature_abs,90th,none
curvature_std_tail_abs_90th,curvature_abs,90th,none
dist_from_food_edge_90th,dist_from_food,90th,none
path_curvature_body_abs_90th,path_curvature_abs,90th,none
path_curvature_tail_abs_90th,path_curvature_abs,90th,none
path_curvature_midbody_abs_90th,path_curvature_abs,90th,none
path_curvature_head_abs_90th,path_curvature_abs,90th,none
d_speed_90th,d_speed,90th,none
d_angular_velocity_abs_90th,d_angular_velocity_abs,90th,none
d_relative_to_body_speed_midbody_abs_90th,d_relative_to_speed_abs,90th,none
d_relative_to_body_radial_velocity_head_tip_90th,d_relative_to_radial_velocity_head_tip,90th,none
d_relative_to_body_angular_velocity_head_tip_abs_90th,d_relative_to_angular_velocity_head_tip_abs,90th,none
d_relative_to_body_radial_velocity_neck_90th,d_relative_to_radial_velocity,90th,none
d_relative_to_body_angular_velocity_neck_abs_90th,d_relative_to_angular_velocity_abs,90th,none
d_relative_to_body_radial_velocity_hips_90th,d_relative_to_radial_velocity,90th,none
d_relative_to_body_angular_velocity_hips_abs_90th,d_relative_to_angular_velocity_abs,90th,none
d_relative_to_body_radial_velocity_tail_tip_90th,d_relative_to_radial_velocity,90th,none
d_relative_to_body_angular_velocity_tail_tip_abs_90th,d_relative_to_angular_velocity_abs,90th,none
d_speed_neck_90th,d_speed,90th,none
d_angular_velocity_neck_abs_90th,d_angular_velocity_abs,90th,none
d_relative_to_neck_radial_velocity_head_tip_90th,d_relative_to_radial_velocity_head_tip,90th,none
d_relative_to_neck_angular_velocity_head_tip_abs_90th,d_relative_to_angular_velocity_head_tip_abs,90th,none
d_speed_head_base_90th,d_speed,90th,none
d_angular_velocity_head_base_abs_90th,d_angular_velocity_abs,90th,none
d_relative_to_head_base_radial_velocity_head_tip_90th,d_relative_to_radial_velocity_head_tip,90th,none
d_relative_to_head_base_angular_velocity_head_tip_abs_90th,d_relative_to_angular_velocity_head_tip_abs,90th,none
d_speed_hips_90th,d_speed,90th,none
d_angular_velocity_hips_abs_90th,d_angular_velocity_abs,90th,none
d_relative_to_hips_radial_velocity_tail_tip_90th,d_relative_to_radial_velocity,90th,none
d_relative_to_hips_angular_velocity_tail_tip_abs_90th,d_relative_to_angular_velocity_abs,90th,none
d_speed_tail_base_90th,d_speed,90th,none
d_angular_velocity_tail_base_abs_90th,d_angular_velocity_abs,90th,none
d_relative_to_tail_base_radial_velocity_tail_tip_90th,d_relative_to_radial_velocity,90th,none
d_relative_to_tail_base_angular_velocity_tail_tip_abs_90th,d_relative_to_angular_velocity_abs,90th,none
d_speed_midbody_90th,d_speed,90th,none
d_angular_velocity_midbody_abs_90th,d_angular_velocity_abs,90th,none
d_speed_head_tip_90th,d_speed_head_tip,90th,none
d_angular_velocity_head_tip_abs_90th,d_angular_velocity_head_tip_abs,90th,none
d_speed_tail_tip_90th,d_speed,90th,none
d_angular_velocity_tail_tip_abs_90th,d_angular_velocity_abs,90th,none
d_length_90th,d_length,90th,none
d_area_90th,d_area,90th,none
d_width_head_base_90th,d_width,90th,none
d_width_midbody_90th,d_width,90th,none
d_width_tail_base_90th,d_width,90th,none
d_quirkiness_90th,d_quirkiness,90th,none
d_major_axis_90th,d_major_axis,90th,none
d_minor_axis_90th,d_minor_axis,90th,none
d_eigen_projection_1_abs_90th,d_eigen_projection_1_abs,90th,none
d_eigen_projection_2_abs_90th,d_eigen_projection_2_abs,90th,none
d_eigen_projection_3_abs_90th,d_eigen_projection_3_abs,90th,none
d_eigen_projection_4_abs_90th,d_eigen_projection_4_abs,90th,none
d_eigen_projection_5_abs_90th,d_eigen_projection_5_abs,90th,none
d_eigen_projection_6_abs_90th,d_eigen_projection_6_abs,90th,none
d_eigen_projection_7_abs_90th,d_eigen_projection_7_abs,90th,none
d_curvature_head_abs_90th,d_curvature_abs,90th,none
d_curvature_hips_abs_90th,d_curvature_abs,90th,none
d_curvature_midbody_abs_90th,d_curvature_abs,90th,none
d_curvature_neck_abs_90th,d_curvature_abs,90th,none
d_curvature_tail_abs_90th,d_curvature_abs,90th,none
d_curvature_mean_head_abs_90th,d_curvature_abs,90th,none
d_curvature_mean_neck_abs_90th,d_curvature_abs,90th,none
d_curvature_mean_midbody_abs_90th,d_curvature_abs,90th,none
d_curvature_mean_hips_abs_90th,d_curvature_abs,90th,none
d_curvature_mean_tail_abs_90th,d_curvature_abs,90th,none
d_curvature_std_head_abs_90th,d_curvature_abs,90th,none
d_curvature_std_neck_abs_90th,d_curvature_abs,90th,none
d_curvature_std_midbody_abs_90th,d_curvature_abs,90th,none
d_curvature_std_hips_abs_90th,d_curvature_abs,90th,none
d_curvature_std_tail_abs_90th,d_curvature_abs,90th,none
d_orientation_food_edge_90th,d_orientation_food,90th,none
d_dist_from_food_edge_90th,d_dist_from_food,90th,none
d_path_curvature_body_abs_90th,d_path_curvature_abs,90th,none
d_path_curvature_tail_abs_90th,d_path_curvature_abs,90th,none
d_path_curvature_midbody_abs_90th,d_path_curvature_abs,90th,none
d_path_curvature_head_abs_90th,d_path_curvature_abs,90th,none
orientation_food_edge_in_outside_90th,orientation_food_in,90th,none
orientation_food_edge_in_inside_90th,orientation_food_in,90th,none
orientation_food_edge_in_edge_90th,orientation_food_in,90th,none
speed_IQR,speed,IQR,none
angular_velocity_abs_IQR,angular_velocity_abs,IQR,none
relative_to_body_speed_midbody_abs_IQR,relative_to_speed_abs,IQR,none
relative_to_body_radial_velocity_head_tip_IQR,relative_to_radial_velocity_head_tip,IQR,none
relative_to_body_angular_velocity_head_tip_abs_IQR,relative_to_angular_velocity_head_tip_abs,IQR,none
relative_to_body_radial_velocity_neck_IQR,relative_to_radial_velocity,IQR,none
relative_to_body_angular_velocity_neck_abs_IQR,relative_to_angular_velocity_abs,IQR,none
relative_to_body_radial_velocity_hips_IQR,relative_to_radial_velocity,IQR,none
relative_to_body_angular_velocity_hips_abs_IQR,relative_to_angular_velocity_abs,IQR,none
relative_to_body_radial_velocity_tail_tip_IQR,relative_to_radial_velocity,IQR,none
relative_to_body_angular_velocity_tail_tip_abs_IQR,relative_to_angular_velocity_abs,IQR,none
speed_neck_IQR,speed,IQR,none
angular_velocity_neck_abs_IQR,angular_velocity_abs,IQR,none
